agid,active,posi.x,posi.y,size,view,mov,condition,spd.x,spd.y,interact_with
57,1,2.42704,0.462288,0.000749,0.01,0.5,0,0.00139,-0.001495,-1,
58,1,2.24312,0.509635,0.000783,0.01,0.5,0,0.001565,-0.00083,-1,
59,1,2.68719,0.351689,0.000732,0.01,0.5,0,0.0016,0.0005,-1,
60,1,2.35094,0.412903,0.0008,0.01,0.5,0,-0.000655,0.00099,-1,
61,1,2.33042,0.403096,0.000681,0.01,0.5,2,0.000585,0.00524,70,
62,1,2.0966,0.504289,0.000681,0.01,0.5,0,0.0016,-0.001005,-1,
63,1,2.26347,0.493498,0.000749,0.01,0.5,0,0.0016,-0.0009,-1,
64,1,2.03759,0.365948,0.000749,0.01,0.5,0,0.00118,-0.000235,-1,
65,1,2.78109,0.371919,0.000715,0.01,0.5,0,0.00083,-0.001285,-1,
66,1,2.30667,0.356612,0.000698,0.01,0.5,0,0.001005,0.00099,-1,
67,1,2.41585,0.539614,0.000732,0.01,0.5,0,-0.000515,0.001425,-1,
68,1,2.09105,0.529193,0.000868,0.01,0.5,0,-0.0009,-0.001305,-1,
69,1,2.104,0.350402,0.000681,0.01,0.5,0,0.00132,0.0016,-1,
70,1,2.32865,0.403858,0.000885,0.01,0.5,1,0.002965,0.00615,77,
71,1,2.59458,0.404154,0.000647,0.01,0.5,2,-0.002895,0.000675,52,
72,1,2.77514,0.503768,0.000783,0.01,0.5,0,0.000865,0.00027,-1,
73,1,2.32652,0.417128,0.000902,0.01,0.5,0,-0.001285,0.00118,-1,
74,1,2.54158,0.531267,0.000715,0.01,0.5,0,0.001285,6.00001e-05,-1,
75,1,2.25643,0.469484,0.000834,0.01,0.5,0,0.00139,-0.0016,-1,
76,1,2.23907,0.331399,0.000715,0.01,0.5,0,-0.000655,-0.000515,-1,
77,1,2.32037,0.400634,0.000732,0.01,0.5,2,-0.00106,-0.002125,70,
78,1,2.4004,0.468814,0.000732,0.01,0.5,0,-0.000305,-0.001165,-1,
79,1,2.32923,0.243069,0.000902,0.01,0.5,0,-8.00001e-05,0.001095,-1,
80,1,2.07791,0.370839,0.000681,0.01,0.5,0,0.000605,0.001025,-1,
81,1,2.20643,0.471938,0.000766,0.01,0.5,0,-0.001425,-0.000675,-1,
82,1,2.22555,0.30709,0.000783,0.01,0.5,0,0.001425,0.000745,-1,
83,1,2.56124,0.528538,0.000698,0.01,0.5,0,0.00139,0.0016,-1,
84,1,2.29208,0.449448,0.000851,0.01,0.5,0,-0.0016,-0.001355,-1,
85,1,2.72269,0.379938,0.000851,0.01,0.5,0,-0.00111,-0.000795,-1,
86,1,2.08298,0.499798,0.000783,0.01,0.5,0,0.001425,-8e-05,-1,
87,1,2.58685,0.450931,0.000783,0.01,0.5,0,0.00083,-0.0016,-1,
88,1,2.1418,0.280814,0.000902,0.01,0.5,0,-0.0002,-0.001215,-1,
89,1,2.61719,0.388484,0.000817,0.01,0.5,0,-0.00069,0.00085,-1,
90,1,2.31187,0.455364,0.000885,0.01,0.5,0,0.00153,-0.001285,-1,
91,1,2.06078,0.416939,0.000851,0.01,0.5,0,0.00071,-0.00076,-1,
92,1,2.55219,0.35463,0.000834,0.01,0.5,0,0.000865,0.0012,-1,
93,1,2.3907,0.528213,0.000834,0.01,0.5,0,-0.0016,0.001215,-1,
94,1,2.11656,0.284552,0.000885,0.01,0.5,0,-0.00034,0.00146,-1,
95,1,2.19181,0.498204,0.000766,0.01,0.5,0,0.0009,0.00139,-1,
96,1,2.20859,0.526548,0.000732,0.01,0.5,0,-0.00132,-0.000445,-1,
97,1,2.78663,0.526922,0.0008,0.01,0.5,1,-0.00092,0.009615,26,
98,1,2.08178,0.423955,0.000817,0.01,0.5,0,-0.0016,-0.001495,-1,
99,1,2.17417,0.307233,0.000783,0.01,0.5,0,9.99999e-06,-0.000795,-1,
100,1,2.58292,0.381448,0.000783,0.01,0.5,0,0.001285,0.00148,-1,
101,1,2.34676,0.511093,0.000749,0.01,0.5,0,0.00104,0.001215,-1,
102,1,2.14425,0.490218,0.000834,0.01,0.5,0,0.0005,0.0009,-1,
103,1,2.09198,0.441583,0.0008,0.01,0.5,0,-0.001145,-0.000395,-1,
104,1,2.10474,0.4319,0.000783,0.01,0.5,0,0.00139,0.00048,-1,
105,1,2.63644,0.52691,0.000766,0.01,0.5,0,-0.0016,-0.001585,-1,
106,1,2.22342,0.34819,0.000783,0.01,0.5,0,-0.00104,-0.00048,-1,
107,1,2.28493,0.3544,0.000834,0.01,0.5,0,0.00125,0.0016,-1,
108,1,2.29597,0.491913,0.0008,0.01,0.5,1,0.00279,-0.00281,37,
109,1,2.14481,0.435046,0.00063,0.01,0.5,0,0.0016,0.00125,-1,
110,1,2.06932,0.421119,0.000681,0.01,0.5,0,-0.00146,-0.0016,-1,
111,1,2.17682,0.460138,0.000851,0.01,0.5,0,0.00139,-0.00139,-1,
